Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season
Kevin Hartman,LA ,GK,18,18,1648,108,83,20,1.11,3-Feb,11,6,1,5,61.1,76.9,2002,reg
Joe Cannon,SJ ,GK,26,26,2375,136,100,29,1.12,5-Apr,13,10,3,8,50,73.5,2002,reg
Tim Howard,MET,GK,27,27,2463,195,140,44,1.63,4-Feb,11,14,2,4,40.7,71.8,2002,reg
Zach Thornton,CHI,GK,27,27,2483,164,124,34,1.26,3-Mar,10,13,4,7,37,75.6,2002,reg
Matt Jordan,DAL,GK,27,27,2511,158,109,42,1.56,6-May,12,9,6,3,44.4,69,2002,reg
Nick Rimando,DC ,GK,28,28,2588,183,131,40,1.43,6-May,9,14,5,7,32.1,71.6,2002,reg
Bo Oshoniyi,KC ,GK,1,0,7,0,0,0,0,0/0,0,0,0,0,0,0,2003,reg
Kyle Singer,NE ,GK,1,0,9,0,0,0,0,0/0,0,0,0,0,0,0,2003,reg
Henry Ring,CHI,GK,1,0,11,1,1,0,0,0/0,0,0,0,0,0,100,2003,reg
Dan Popik,LA ,GK,1,0,16,0,0,0,0,0/0,0,0,0,0,0,0,2003,reg
Curtis Spiteri,CHI,GK,1,0,44,10,4,6,6,0/0,0,1,0,0,0,40,2003,reg
Joe Cannon,COL,GK,1,0,44,0,0,0,0,0/0,0,0,0,0,0,0,2003,reg
Clint Baumstark,CLB,GK,1,1,100,1,0,1,1,0/0,0,0,1,0,0,0,2003,reg
Paul Grafer,MET,GK,3,3,270,24,14,8,2.67,0/0,1,2,0,1,33.3,58.3,2003,reg
Jon Conway,SJ ,GK,3,3,280,18,11,6,2,0/0,0,2,1,1,0,61.1,2003,reg
Scott Vallow,COL,GK,4,4,380,22,14,7,1.75,2-Feb,0,2,2,0,0,63.6,2003,reg
Doug Warren,DC ,GK,5,4,404,33,26,6,1.5,2-Feb,0,2,2,0,0,78.8,2003,reg
Matt Reis,NE ,GK,5,5,460,23,12,10,2,2-Feb,1,3,1,0,20,52.2,2003,reg
Jeff Cassar,DAL,GK,7,6,561,40,23,16,2.67,0/0,1,4,1,2,14.3,57.5,2003,reg
Tom Presthus,CLB,GK,7,6,613,30,21,9,1.5,0/0,1,4,2,2,14.3,70,2003,reg
Tim Howard,MET,GK,13,13,1223,96,74,18,1.38,2-Jan,6,3,4,3,46.2,77.1,2003,reg
Jonny Walker,MET,GK,14,14,1325,70,55,14,1,3-Feb,4,5,5,4,28.6,78.6,2003,reg
D.J. Countess,DAL,GK,24,24,2194,173,115,48,2,10-Jun,5,15,4,2,20.8,66.5,2003,reg
Jon Busch,CLB,GK,24,24,2194,144,104,35,1.46,8-Aug,9,8,6,4,37.5,72.2,2003,reg
Nick Rimando,DC ,GK,25,25,2318,131,100,29,1.16,5-Mar,10,9,6,7,40,76.3,2003,reg
Scott Garlick,COL,GK,26,26,2346,123,83,38,1.46,6-May,11,10,5,9,42.3,67.5,2003,reg
Adin Brown,NE ,GK,25,25,2347,136,95,37,1.48,3-Feb,11,6,8,4,44,69.9,2003,reg
Pat Onstad,SJ ,GK,27,27,2510,138,103,29,1.07,1-Jan,14,5,8,9,51.9,74.6,2003,reg
Zach Thornton,CHI,GK,30,30,2728,165,123,37,1.23,4-Apr,15,6,8,8,50,74.5,2003,reg
Kevin Hartman,LA ,GK,30,30,2796,190,149,35,1.17,4-Mar,9,12,9,3,30,78.4,2003,reg
Tony Meola,KC ,GK,30,30,2797,172,121,44,1.47,6-Jun,11,10,9,4,36.7,70.3,2003,reg
Dan Popik,LA ,GK,1,0,44,3,2,1,1,0/0,0,1,0,0,0,66.7,2004,reg
Matt Jordan,CLB,GK,1,1,90,7,5,1,1,1-Jan,0,0,1,0,0,71.4,2004,reg
Doug Warren,DC ,GK,1,1,90,10,6,3,3,0/0,0,1,0,0,0,60,2004,reg
D.J. Countess,CHI,GK,2,2,180,9,4,4,2,0/0,1,1,0,0,50,44.4,2004,reg
Zach Wells,MET,GK,2,2,180,8,4,4,2,1-Jan,1,1,0,0,50,50,2004,reg
Jon Conway,SJ ,GK,5,5,450,18,15,3,0.6,0/0,2,2,1,2,40,83.3,2004,reg
Adin Brown,NE ,GK,7,7,585,51,39,11,1.57,0/0,1,3,2,1,14.3,76.5,2004,reg
Bo Oshoniyi,KC ,GK,9,9,810,56,42,8,0.89,2-Jan,5,2,2,5,55.6,75,2004,reg
Scott Garlick,DAL,GK,12,11,1068,72,52,18,1.64,1-Jan,3,6,2,4,25,72.2,2004,reg
Nick Rimando,DC ,GK,13,13,1170,40,26,13,1,3-Mar,7,3,3,4,53.8,65,2004,reg
Troy Perkins,DC ,GK,16,16,1440,81,52,26,1.63,2-Jan,4,6,6,3,25,64.2,2004,reg
Jeff Cassar,DAL,GK,19,19,1632,94,65,27,1.42,0/1,7,8,4,4,36.8,69.1,2004,reg
Tony Meola,KC ,GK,21,21,1890,102,76,22,1.05,2-Feb,9,7,5,7,42.9,74.5,2004,reg
Matt Reis,NE ,GK,24,23,2114,134,97,32,1.39,4-Apr,7,10,7,3,29.2,72.4,2004,reg
Pat Onstad,SJ ,GK,25,25,2250,132,98,32,1.28,3-Feb,7,8,10,6,28,74.2,2004,reg
Henry Ring,CHI,GK,28,28,2520,170,128,40,1.43,6-May,7,12,9,7,25,75.3,2004,reg
Jonny Walker,MET,GK,28,28,2520,148,99,45,1.61,4-Mar,10,11,7,5,35.7,66.9,2004,reg
Jon Busch,CLB,GK,29,29,2610,169,132,31,1.07,7-Jun,12,5,12,10,41.4,78.1,2004,reg
Kevin Hartman,LA ,GK,30,30,2655,164,117,39,1.3,5-Apr,11,8,10,7,36.7,71.3,2004,reg
Joe Cannon,COL,GK,30,30,2700,187,150,32,1.07,7-May,10,9,11,10,33.3,80.2,2004,reg
Dario Sala,DAL,GK,1,1,90,2,2,0,0,0/0,0,0,1,1,0,100,2005,reg
Steve Cronin,LA ,GK,1,1,90,5,3,2,2,0/0,0,0,1,0,0,60,2005,reg
Doug Warren,NE ,GK,2,1,96,7,4,2,2,1-Jan,1,0,0,0,50,57.1,2005,reg
Troy Perkins,DC ,GK,2,2,180,8,5,2,1,1-Jan,1,1,0,0,50,62.5,2005,reg
Matt Jordan,CLB,GK,2,2,180,16,13,3,1.5,2-Jan,1,0,1,0,50,81.3,2005,reg
David Mahoney,CHI,GK,3,3,270,11,7,4,1.33,1-Jan,1,1,1,1,33.3,63.6,2005,reg
Matt Pickens,CHI,GK,5,3,298,15,10,4,1.33,0/0,2,2,1,0,40,66.7,2005,reg
Jeff Cassar,DAL,GK,4,4,333,21,13,7,1.75,0/0,0,2,1,0,0,61.9,2005,reg
Martin Zuniga,CHV,GK,4,4,360,32,18,13,3.25,0/0,0,3,1,0,0,56.3,2005,reg
Sergio Garcia,CHV,GK,5,5,441,30,19,8,1.6,0/0,1,3,1,1,20,63.3,2005,reg
Jay Nolly,RSL,GK,5,5,450,46,34,11,2.2,1-Jan,1,3,1,0,20,73.9,2005,reg
Byron Foss,COL,GK,6,5,481,26,21,5,1,0/0,3,1,2,2,50,80.8,2005,reg
Bill Gaudette,CLB,GK,6,5,495,33,21,10,2,1-Jan,1,3,1,1,16.7,63.6,2005,reg
Jon Busch,CLB,GK,9,9,765,50,34,14,1.56,0/0,3,5,1,3,33.3,68,2005,reg
Tony Meola,MET,GK,15,15,1350,117,83,28,1.87,0/0,6,5,4,2,40,70.9,2005,reg
Jonny Walker,CLB,GK,16,16,1440,87,66,18,1.13,0/0,6,8,2,5,37.5,75.9,2005,reg
Zach Wells,MET,GK,17,17,1530,95,69,21,1.24,5-Mar,6,4,7,4,35.3,72.6,2005,reg
Brad Guzan,ATL,GK,24,23,2079,156,104,46,2,9-Jul,3,16,4,2,12.5,66.7,2005,reg
Zach Thornton,CHI,GK,27,26,2310,126,82,42,1.62,5-Apr,12,10,2,6,44.4,65.1,2005,reg
Joe Cannon,COL,GK,27,27,2399,139,100,32,1.19,6-Jun,10,12,4,8,37,71.9,2005,reg
D.J. Countess,RSL,GK,27,27,2422,170,112,54,2,3-Mar,4,19,4,4,14.8,65.9,2005,reg
Scott Garlick,DAL,GK,28,27,2457,135,98,37,1.37,2-Feb,13,8,7,6,46.4,72.6,2005,reg
Nick Rimando,DC ,GK,30,30,2700,128,92,35,1.17,5-Apr,15,9,6,11,50,71.9,2005,reg
Matt Reis,NE ,GK,31,31,2784,162,115,35,1.13,5-Apr,16,7,8,10,51.6,71,2005,reg
Kevin Hartman,LA ,GK,31,31,2790,138,94,43,1.39,6-Jun,13,13,5,6,41.9,68.1,2005,reg
Pat Onstad,SJ ,GK,32,32,2880,136,105,31,0.97,5-Apr,18,4,10,12,56.3,77.2,2005,reg
Bo Oshoniyi,KC ,GK,32,32,2880,163,112,44,1.38,1-Jan,11,9,12,7,34.4,68.7,2005,reg
Jeff Cassar,DAL,GK,1,0,44,3,3,0,0,0/0,0,0,0,0,0,100,2006,reg
Dan Popik,CLB,GK,1,1,90,11,7,5,5,1-Jan,0,1,0,0,0,63.6,2006,reg
Jay Nolly,RSL,GK,2,1,134,13,7,6,6,0/0,0,1,0,0,0,53.8,2006,reg
Nick Rimando,DC ,GK,2,2,180,10,6,4,2,0/1,0,1,1,0,0,60,2006,reg
Andy Gruenebaum,CLB,GK,3,2,185,14,12,2,1,0/0,1,1,0,0,33.3,85.7,2006,reg
William Hesmer,KC ,GK,3,3,270,12,9,4,1.33,0/0,1,2,0,1,33.3,75,2006,reg
Shaka Hislop,DAL,GK,4,4,360,25,13,10,2.5,0/0,2,2,0,0,50,52,2006,reg
Steve Cronin,LA ,GK,4,4,360,16,11,5,1.25,0/0,1,3,0,0,25,68.8,2006,reg
Bouna Coundoul,COL,GK,5,4,440,22,15,7,1.75,1-Jan,2,2,1,2,40,68.2,2006,reg
Jon Busch,CLB,GK,8,8,715,45,34,9,1.13,0/0,3,3,2,3,37.5,75.6,2006,reg
Matt Pickens,CHI,GK,8,8,720,57,47,11,1.38,1-Jan,5,3,0,1,62.5,82.5,2006,reg
Noah Palmer,CLB,GK,10,10,900,56,40,13,1.3,0/0,1,5,4,1,10,71.4,2006,reg
Bill Gaudette,CLB,GK,11,11,990,60,45,13,1.18,0/1,3,5,3,3,27.3,75,2006,reg
Jon Conway,NY ,GK,12,12,1080,67,54,12,1,3-Mar,7,2,3,5,58.3,80.6,2006,reg
Brad Guzan,ATL,GK,13,13,1170,70,49,19,1.46,1-Jan,3,6,4,5,23.1,70,2006,reg
Preston Burpo,CHV,GK,19,19,1710,87,58,23,1.21,1-Jan,7,3,9,5,36.8,66.7,2006,reg
Tony Meola,NY ,GK,20,20,1800,120,91,29,1.45,1-Jan,2,9,9,5,10,75.8,2006,reg
Zach Thornton,CHI,GK,24,24,2160,118,86,30,1.25,3-Feb,8,8,8,7,33.3,72.9,2006,reg
Joe Cannon,COL,GK,28,28,2440,146,99,42,1.5,4-Mar,9,11,7,7,32.1,67.8,2006,reg
Dario Sala,DAL,GK,28,28,2475,129,93,34,1.21,1-Jan,14,10,4,5,50,72.1,2006,reg
Kevin Hartman,LA ,GK,28,28,2520,120,88,32,1.14,3-Feb,10,12,6,9,35.7,73.3,2006,reg
Bo Oshoniyi,KC ,GK,29,29,2610,138,95,41,1.41,6-May,9,12,8,5,31,68.8,2006,reg
Troy Perkins,DC ,GK,30,30,2700,140,100,34,1.13,8-Aug,15,6,9,8,50,71.4,2006,reg
Scott Garlick,RSL,GK,31,31,2745,158,108,43,1.39,2-Jan,10,12,9,4,32.3,68.4,2006,reg
Pat Onstad,HOU,GK,32,32,2880,132,85,40,1.25,3-Mar,11,8,13,5,34.4,64.4,2006,reg
Matt Reis,NE ,GK,32,32,2880,182,141,35,1.09,3-Jan,12,8,12,10,37.5,77.5,2006,reg
Zach Thornton,COL,GK,1,0,32,3,1,2,2,0/0,0,1,0,0,0,33.3,2007,reg
Jay Nolly,DC ,GK,1,1,90,9,7,2,2,0/0,0,1,0,0,0,77.8,2007,reg
Steve Cronin,LA ,GK,1,1,90,8,6,2,2,0/0,0,1,0,0,0,75,2007,reg
David Monsalve,TOR,GK,1,1,90,10,7,3,3,0/0,0,1,0,0,0,70,2007,reg
Sam Reynolds,TOR,GK,2,2,175,11,9,2,1,1-Jan,1,0,1,0,50,81.8,2007,reg
Preston Burpo,CHV,GK,3,3,270,16,13,3,1,0/0,1,1,1,1,33.3,81.3,2007,reg
Jon Busch,CHI,GK,3,3,270,20,15,5,1.67,2-Feb,1,2,0,1,33.3,75,2007,reg
Chris Seitz,DC,GK,3,3,270,14,6,8,2.67,0/0,0,2,1,0,0,42.9,2007,reg
Zach Wells,HOU,GK,4,3,282,9,8,1,0.33,1-Jan,2,0,1,2,50,88.9,2007,reg
Shaka Hislop,DAL,GK,6,6,540,32,23,9,1.5,0/0,2,3,1,0,33.3,71.9,2007,reg
Ray Burse,DAL,GK,6,6,540,29,23,6,1,1-Jan,3,2,1,2,50,79.3,2007,reg
Srdjan Djekanovic,TOR,GK,8,7,635,34,22,9,1.29,1-Jan,2,3,2,2,25,64.7,2007,reg
Greg Sutton,TOR,GK,8,8,720,53,36,15,1.88,2-Feb,2,5,1,1,25,67.9,2007,reg
Andy Gruenebaum,CLB,GK,10,10,900,53,35,15,1.5,0/0,1,4,5,3,10,66,2007,reg
Kenny Stamatopoulos,TOR,GK,12,12,1080,61,41,20,1.67,4-Apr,1,8,3,2,8.3,67.2,2007,reg
Jon Conway,NY ,GK,14,12,1142,79,57,14,1.17,2-Jan,6,5,2,4,42.9,72.2,2007,reg
Ronald Waterreus,NY ,GK,18,18,1557,89,59,31,1.72,3-Mar,6,6,5,5,33.3,66.3,2007,reg
Dario Sala,DAL,GK,18,18,1620,97,64,29,1.61,2-Feb,8,7,3,5,44.4,66,2007,reg
William Hesmer,CLB,GK,20,20,1800,99,71,29,1.45,3-Feb,8,7,5,5,40,71.7,2007,reg
Pat Onstad,HOU,GK,27,27,2418,109,85,22,0.81,2-Jan,13,8,6,11,48.1,78,2007,reg
Nick Rimando,RSL,GK,27,27,2430,191,146,37,1.37,6-Apr,6,13,8,7,22.2,76.4,2007,reg
Matt Pickens,CHI,GK,27,27,2430,137,102,31,1.15,4-Apr,9,8,10,10,33.3,74.5,2007,reg
Brad Guzan,ATL,GK,27,27,2430,119,87,25,0.93,3-Feb,14,6,7,13,51.9,73.1,2007,reg
Joe Cannon,LA ,GK,29,29,2610,171,119,46,1.59,5-Apr,9,13,7,5,31,69.6,2007,reg
Troy Perkins,DC ,GK,29,29,2610,155,117,32,1.1,3-Jan,16,6,7,8,55.2,75.5,2007,reg
Bouna Coundoul,COL,GK,30,30,2668,158,120,32,1.07,2-Feb,9,12,8,9,30,75.9,2007,reg
Kevin Hartman,KC ,GK,30,30,2700,159,110,45,1.5,7-Jun,11,12,7,5,36.7,69.2,2007,reg
Matt Reis,NE ,GK,30,30,2700,169,120,43,1.43,3-Mar,14,8,8,10,46.7,71,2007,reg
Andy Gruenebaum,CLB,GK,1,1,90,5,2,3,3,0/0,0,1,0,0,0,40,2008,reg
Jose Carvallo,DC ,GK,1,1,90,6,2,4,4,0/0,0,1,0,0,0,33.3,2008,reg
Ray Burse,DAL,GK,2,2,180,16,12,4,2,1-Jan,0,2,0,0,0,75,2008,reg
Danny Cepero,NY ,GK,2,2,180,11,5,6,3,0/0,1,1,0,0,50,45.5,2008,reg
Doug Warren,NE ,GK,3,2,215,10,5,5,2.5,0/0,1,0,1,0,33.3,50,2008,reg
Josh Saunders,LA ,GK,3,3,270,13,8,6,2,1-Jan,1,2,0,0,33.3,61.5,2008,reg
Josh Wicks,LA ,GK,6,5,495,33,20,12,2.4,0/0,1,2,3,0,16.7,60.6,2008,reg
Brian Edwards,TOR,GK,6,6,540,31,23,8,1.33,0/0,2,3,1,2,33.3,74.2,2008,reg
Tony Caig,HOU,GK,7,6,602,36,24,8,1.33,0/0,3,1,3,3,42.9,66.7,2008,reg
Zach Thornton,CHV,GK,8,7,651,32,16,13,1.86,1-Jan,2,3,3,1,25,50,2008,reg
Dan Kennedy,CHV,GK,9,8,699,33,23,8,1,2-Jan,4,3,0,3,44.4,69.7,2008,reg
Louis Crayton,DC ,GK,12,12,1080,64,43,19,1.58,0/0,3,6,3,4,25,67.2,2008,reg
Preston Burpo,COL,GK,13,13,1170,63,37,24,1.85,2-Jan,5,6,2,3,38.5,58.7,2008,reg
Brad Guzan,ATL,GK,15,15,1350,71,48,20,1.33,1-Jan,6,5,4,4,40,67.6,2008,reg
Zach Wells,DC ,GK,17,17,1530,85,56,28,1.65,0/0,8,8,1,1,47.1,65.9,2008,reg
Bouna Coundoul,COL,GK,17,17,1530,77,54,21,1.24,3-Mar,6,8,3,5,35.3,70.1,2008,reg
Steve Cronin,LA ,GK,22,22,1935,141,92,44,2,3-Mar,6,9,6,2,27.3,65.2,2008,reg
Pat Onstad,HOU,GK,24,24,2098,105,76,24,1,0/1,10,4,9,7,41.7,72.4,2008,reg
Greg Sutton,TOR,GK,24,24,2160,160,116,35,1.46,7-Jun,7,10,7,6,29.2,72.5,2008,reg
Matt Reis,NE ,GK,28,28,2485,150,107,38,1.36,4-Mar,11,11,6,6,39.3,71.3,2008,reg
Jon Conway,NY ,GK,28,28,2520,146,98,42,1.5,3-Feb,9,10,9,7,32.1,67.1,2008,reg
Dario Sala,DAL,GK,28,28,2520,131,92,37,1.32,1-Jan,8,8,12,7,28.6,70.2,2008,reg
William Hesmer,CLB,GK,29,29,2610,132,97,33,1.14,5-Feb,17,6,6,10,58.6,73.5,2008,reg
Nick Rimando,RSL,GK,30,30,2700,140,96,39,1.3,4-Apr,10,10,10,8,33.3,68.6,2008,reg
Jon Busch,CHI,GK,30,30,2700,156,122,33,1.1,0/1,13,10,7,10,43.3,78.2,2008,reg
Kevin Hartman,KC ,GK,30,30,2700,162,117,39,1.3,3-Mar,11,10,9,10,36.7,72.2,2008,reg
Joe Cannon,SJ ,GK,30,30,2700,166,124,38,1.27,5-Mar,8,13,9,9,26.7,74.7,2008,reg
Kyle Reynish,RSL,GK,1,0,55,2,1,1,1,0/0,0,0,0,0,0,50,2009,reg
Ben Dragavon,SEA,GK,1,0,61,3,2,1,1,0/0,0,1,0,0,0,66.7,2009,reg
Alec Dufty,NY ,GK,1,0,82,2,2,0,0,0/0,0,0,0,0,0,100,2009,reg
Chris Eylander,SEA,GK,1,1,90,3,1,2,2,0/0,0,1,0,0,0,33.3,2009,reg
Kenny Schoeni,CLB,GK,1,1,90,5,4,1,1,0/0,0,1,0,0,0,80,2009,reg
Greg Sutton,TOR,GK,2,1,135,5,3,2,2,0/0,0,1,1,0,0,60,2009,reg
Steve Cronin,DC ,GK,2,2,180,12,9,2,1,1-Jan,1,0,1,1,50,75,2009,reg
Andrew Weber,SJ ,GK,2,2,180,17,11,3,1.5,0/0,1,0,1,0,50,64.7,2009,reg
Brian Edwards,TOR,GK,3,3,270,17,11,6,2,1-Jan,1,1,1,1,33.3,64.7,2009,reg
Milos Kocic,DC ,GK,4,3,308,16,9,8,2.67,0/0,1,2,1,0,25,56.3,2009,reg
Lance Parker,CHV,GK,4,3,315,19,11,8,2.67,1-Jan,1,2,0,1,25,57.9,2009,reg
Chris Seitz,DC,GK,4,4,360,20,13,5,1.25,1-Jan,1,2,1,1,25,65,2009,reg
Josh Saunders,LA ,GK,6,4,426,18,12,5,1.25,1-Jan,2,1,2,2,33.3,66.7,2009,reg
Brad Knighton,NE,GK,6,6,540,49,36,14,2.33,0/0,1,2,3,0,16.7,73.5,2009,reg
Louis Crayton,DC ,GK,6,6,540,31,21,8,1.33,0/0,2,1,3,1,33.3,67.7,2009,reg
Bouna Coundoul,NY ,GK,8,8,720,46,32,10,1.25,2-Jan,2,4,2,2,25,69.6,2009,reg
Jon Conway,CHV,GK,9,9,810,51,33,16,1.78,4-Apr,1,7,1,1,11.1,64.7,2009,reg
Andy Gruenebaum,CLB,GK,10,10,900,36,21,12,1.2,2-Jan,4,2,4,1,40,58.3,2009,reg
Preston Burpo,COL,GK,11,11,990,41,23,16,1.45,1-Jan,1,4,6,1,9.1,56.1,2009,reg
Danny Cepero,NY ,GK,13,13,1088,85,62,21,1.62,0/1,2,8,3,0,15.4,72.9,2009,reg
Dario Sala,DAL,GK,14,14,1195,63,43,20,1.43,2-Feb,7,5,1,4,50,68.3,2009,reg
Ray Burse,DAL,GK,17,16,1503,92,62,27,1.69,2-Feb,4,8,5,1,23.5,67.4,2009,reg
Josh Wicks,DC ,GK,19,19,1672,104,78,26,1.37,5-Apr,5,5,8,5,26.3,75,2009,reg
Matt Pickens,COL,GK,19,19,1710,63,39,22,1.16,4-Apr,9,6,4,7,47.4,61.9,2009,reg
William Hesmer,CLB,GK,19,19,1710,86,68,18,0.95,0/0,9,4,6,7,47.4,79.1,2009,reg
Matt Reis,NE ,GK,24,24,2160,140,114,23,0.96,3-Feb,10,8,6,8,41.7,81.4,2009,reg
Donovan Ricketts,LA ,GK,26,26,2274,112,82,26,1,5-Apr,10,5,10,9,38.5,73.2,2009,reg
Nick Rimando,RSL,GK,26,26,2285,108,73,29,1.12,0/2,10,10,6,9,38.5,67.6,2009,reg
Stefan Frei,SEA,GK,26,26,2295,141,98,38,1.46,4-Mar,9,9,7,5,34.6,69.5,2009,reg
Zach Thornton,CHV,GK,27,27,2385,111,83,23,0.85,2-Feb,12,9,6,12,44.4,74.8,2009,reg
Joe Cannon,SJ ,GK,28,28,2520,147,97,47,1.68,3-Mar,6,14,8,3,21.4,66,2009,reg
Kasey Keller,SEA,GK,29,29,2549,108,78,26,0.9,3-Jan,12,5,11,10,41.4,72.2,2009,reg
Pat Onstad,HOU,GK,30,30,2700,121,89,29,0.97,4-Feb,13,8,9,10,43.3,73.6,2009,reg
Jon Busch,CHI,GK,30,30,2700,136,103,34,1.13,5-May,11,7,12,10,36.7,75.7,2009,reg
Kevin Hartman,KC ,GK,30,30,2700,153,105,42,1.4,4-Mar,8,13,9,7,26.7,68.6,2009,reg
